age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,plausibility_score
41,Private,244327,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,14.305924415588379
46,Self-emp-inc,279271,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,14.482973098754883
37,Private,190931,HS-grad,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,>50K,15.191600799560547
37,Self-emp-not-inc,284040,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States,<=50K,22.428977966308594
38,Local-gov,179708,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,13.061442375183105
37,Private,250982,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K,15.421294212341309
37,Private,194630,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K,14.669864654541016
37,Self-emp-inc,180259,Some-college,10,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,20.14326286315918
49,Self-emp-inc,214832,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,13.248575210571289
37,Private,183102,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,>50K,16.679752349853516
37,Private,178173,HS-grad,10,Separated,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,0,0,40,China,<=50K,21.742755889892578
51,Private,269718,Masters,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,>50K,37.99694061279297
37,Local-gov,233968,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,50,United-States,>50K,23.129112243652344
48,Private,181325,HS-grad,10,Widowed,Exec-managerial,Not-in-family,Black,Female,0,0,40,United-States,>50K,19.720216751098633
52,State-gov,178173,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,30.0090389251709
37,Private,255786,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,34.852272033691406
38,Private,251835,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,>50K,17.55396842956543
37,Private,264851,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States,>50K,16.007579803466797
37,Private,180632,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,>50K,14.557563781738281
37,Local-gov,179934,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,United-States,<=50K,16.344432830810547
37,Federal-gov,198917,HS-grad,10,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,>50K,24.054336547851562
40,Self-emp-inc,181065,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,15.973310470581055
46,Self-emp-inc,284015,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,12.905040740966797
38,Private,180762,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,Poland,>50K,17.902891159057617
48,Private,182221,Masters,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K,39.82535934448242
37,Private,180655,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,13.132196426391602
41,Self-emp-inc,182543,HS-grad,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,19.54909896850586
44,Private,178328,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,12.310598373413086
41,Private,178173,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,13.991928100585938
43,Private,188368,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,>50K,14.693595886230469
37,Private,191937,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,45,United-States,<=50K,16.855880737304688
40,Private,178173,Some-college,10,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,>50K,18.207183837890625
46,Self-emp-inc,178438,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,17.62875747680664
38,Private,192509,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,Scotland,>50K,24.022090911865234
37,Private,178817,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,>50K,17.705114364624023
38,Private,178661,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,13.755228042602539
41,Private,227614,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,>50K,11.204314231872559
51,Private,181689,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,10.941875457763672
38,Private,198279,HS-grad,10,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,13.52509880065918
40,Private,209385,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K,13.923763275146484
37,Private,187013,HS-grad,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K,14.159255981445312
44,Private,188546,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,12.038911819458008
37,Private,209570,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,46,United-States,<=50K,13.653099060058594
37,Private,178173,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,10.237214088439941
37,Private,255672,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,11.848864555358887
52,Self-emp-not-inc,201870,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,>50K,35.273719787597656
37,Private,178423,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,12.633831977844238
37,Private,184035,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K,16.634662628173828
42,State-gov,178173,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,12.838592529296875
41,Private,178173,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,45,United-States,<=50K,16.571733474731445
37,Private,178803,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,12.812875747680664
