age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,plausibility_score
27,State-gov,52225,Bachelors,13,Married-spouse-absent,Adm-clerical,Wife,White,Female,0,0,36,United-States,<=50K,26.60009765625
58,Self-emp-not-inc,162601,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K,11.551033020019531
44,State-gov,34195,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,14.87799072265625
24,State-gov,272319,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,6836,0,40,United-States,<=50K,20.809402465820312
31,Self-emp-not-inc,138942,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,60,?,<=50K,19.286407470703125
33,State-gov,187675,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,16.190471649169922
22,State-gov,223386,Bachelors,13,Never-married,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K,18.013240814208984
22,Private,622722,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,9.86246109008789
36,State-gov,278541,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,15.219948768615723
47,State-gov,314549,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,13.687446594238281
56,State-gov,341385,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,14.724909782409668
37,State-gov,236265,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,16.820913314819336
25,State-gov,135058,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,19.063369750976562
23,State-gov,449899,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K,21.806453704833984
23,State-gov,185141,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K,17.956167221069336
42,State-gov,375790,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Japan,>50K,21.984630584716797
46,State-gov,77864,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,30,United-States,>50K,18.20438003540039
21,State-gov,242472,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K,17.070362091064453
25,State-gov,242637,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,18.69523048400879
39,State-gov,110283,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,17.544137954711914
24,State-gov,155324,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,80,United-States,<=50K,18.160030364990234
42,State-gov,206941,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,55,United-States,>50K,18.094331741333008
29,State-gov,108211,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,0,0,35,India,<=50K,23.155181884765625
31,State-gov,174537,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K,19.13323402404785
36,State-gov,224500,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,15.647220611572266
51,State-gov,199647,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,15.205324172973633
37,State-gov,187635,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,14.324580192565918
35,State-gov,221365,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K,14.403047561645508
49,State-gov,86888,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,14.652732849121094
36,State-gov,230098,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37,United-States,<=50K,16.274166107177734
26,State-gov,420111,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,37,United-States,<=50K,18.7405948638916
64,State-gov,82264,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,United-States,>50K,18.45688247680664
38,State-gov,153650,11th,7,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,Japan,<=50K,27.90949249267578
