age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,plausibility_score
36,Private,232724,11th,7,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,50,United-States,<=50K,19.290769577026367
61,?,148500,11th,7,Divorced,?,Not-in-family,Black,Female,0,0,42,?,<=50K,19.34929847717285
76,?,271447,11th,7,Divorced,?,Husband,White,Male,0,0,24,United-States,<=50K,22.090877532958984
41,?,196280,11th,7,Divorced,?,Not-in-family,White,Female,0,0,40,?,<=50K,20.194137573242188
21,Private,208136,11th,7,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,?,<=50K,25.617000579833984
61,?,389863,11th,7,Divorced,?,Husband,Amer-Indian-Eskimo,Female,0,0,40,Puerto-Rico,<=50K,37.293521881103516
59,Private,397354,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,28,?,<=50K,27.807388305664062
54,?,176518,11th,7,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,17.56378746032715
69,?,169006,11th,6,Divorced,?,Husband,White,Female,0,0,40,?,<=50K,39.22378158569336
61,?,190390,11th,7,Divorced,?,Husband,Amer-Indian-Eskimo,Female,0,0,25,?,<=50K,36.171688079833984
44,Private,192399,11th,7,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,13.996102333068848
64,?,239751,11th,7,Divorced,?,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,25.26757049560547
67,?,175607,11th,7,Divorced,?,Own-child,White,Female,0,0,4,?,<=50K,22.600391387939453
69,?,119928,11th,7,Divorced,?,Husband,White,Female,0,0,20,United-States,<=50K,27.061885833740234
39,?,197147,11th,7,Married-civ-spouse,?,Husband,Other,Male,0,0,35,Haiti,<=50K,26.248872756958008
60,?,202513,11th,7,Divorced,?,Husband,White,Female,0,0,3,?,<=50K,32.231719970703125
56,Private,142270,11th,6,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K,30.28601837158203
44,?,346896,11th,7,Divorced,?,Own-child,Amer-Indian-Eskimo,Male,0,0,40,?,<=50K,26.72783851623535
55,?,55284,11th,7,Divorced,?,Husband,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K,32.88568115234375
43,?,182673,11th,7,Divorced,?,Own-child,White,Female,0,0,35,?,<=50K,24.03706932067871
78,?,210954,11th,7,Divorced,?,Husband,White,Female,0,0,25,United-States,<=50K,26.98061180114746
51,?,174652,11th,7,Divorced,?,Not-in-family,White,Female,0,0,44,?,<=50K,19.057395935058594
34,?,508827,11th,7,Married-civ-spouse,?,Husband,Black,Female,0,0,40,Mexico,<=50K,26.272878646850586
66,?,152817,11th,7,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,?,<=50K,21.799875259399414
17,?,210627,11th,7,Never-married,?,Unmarried,White,Female,0,0,40,United-States,<=50K,13.90574836730957
